epoch,advantage_action_alignment,joint_approx_kl,joint_clip_fraction,joint_selected_score_mean,joint_expected_score_mean,joint_residual_credit_mean,joint_residual_credit_std,joint_action_decision_agreement_ratio_under_reward_aligned
0,-0.031698279082775116,0.019677776843309402,0.5552083253860474,0.1587788164615631,0.1243237853050232,0.03445502743124962,1.0238467454910278,0.4306250214576721
1,-0.133426696062088,0.018171850591897964,0.6985417008399963,0.24965159595012665,0.17552316188812256,0.07412842661142349,0.9789004325866699,0.46000000834465027
2,0.09826181828975677,-0.029780300334095955,0.6381250023841858,0.4937225580215454,0.27414512634277344,0.2195773869752884,0.8567400574684143,0.5733333230018616
3,0.10957414656877518,-0.02697872184216976,0.533958375453949,0.5582011938095093,0.3455878794193268,0.2126133143901825,0.7621169686317444,0.5987499952316284
4,0.05703810229897499,-0.05382660776376724,0.3943749964237213,0.6901899576187134,0.44197434186935425,0.24821564555168152,0.6268848776817322,0.6635416746139526
5,0.12079255282878876,-0.038036663085222244,0.2691666781902313,0.7156009078025818,0.5022231936454773,0.21337774395942688,0.5275622606277466,0.6850000023841858
6,-0.11725980788469315,-0.012911162339150906,0.21312500536441803,0.6815477609634399,0.5104464888572693,0.17110133171081543,0.4788636267185211,0.6652083396911621
7,0.11974933743476868,-0.021997226402163506,0.18458333611488342,0.7250837087631226,0.5503479242324829,0.17473584413528442,0.44333314895629883,0.6885417103767395
8,0.05960521101951599,-0.014361154288053513,0.1758333444595337,0.755485475063324,0.5789714455604553,0.17651407420635223,0.4113044738769531,0.699999988079071
9,0.20588301122188568,-0.01179825235158205,0.1837500035762787,0.7322869300842285,0.5771961808204651,0.15509074926376343,0.4223667085170746,0.6893750429153442
10,-0.018083225935697556,-0.013450592756271362,0.1758333444595337,0.7432361245155334,0.5892724990844727,0.15396368503570557,0.38004663586616516,0.7006250023841858
11,-0.023039381951093674,-0.00500106206163764,0.15666666626930237,0.7283680438995361,0.5948067307472229,0.13356132805347443,0.36802440881729126,0.6910417079925537
