epoch,advantage_action_alignment,theta_advantage_alignment,route_advantage_alignment,theta_approx_kl,route_approx_kl,theta_clip_fraction,route_clip_fraction,offload_decision_agreement_ratio,route_decision_agreement_ratio,theta_residual_credit_mean,route_residual_credit_mean
0,0.006911195814609528,0.04605984687805176,0.030674824491143227,0.026777712628245354,0.0056928303092718124,0.4937500059604645,0.012419871985912323,0.48000001907348633,0.4655448794364929,-0.028066953644156456,-0.05674180015921593
1,0.16578391194343567,0.018339380621910095,0.024104906246066093,0.007997932843863964,0.004707896616309881,0.5589583516120911,0.19402983784675598,0.5120833516120911,0.4776119291782379,0.0240301713347435,-0.02305375412106514
2,0.1801176816225052,0.028256453573703766,-0.02094198204576969,-0.026634983718395233,-0.01124432310461998,0.46291667222976685,0.24834123253822327,0.5597916841506958,0.47535544633865356,0.07755912840366364,-0.01960914395749569
3,0.20307858288288116,0.012803006917238235,0.02400498278439045,-0.026345353573560715,-0.04320934787392616,0.3804166615009308,0.3184267282485962,0.6112500429153442,0.42241379618644714,0.12321560084819794,-0.09009896963834763
4,0.2085864245891571,0.017379917204380035,-0.011407854966819286,-0.033294569700956345,-0.06884169578552246,0.22958333790302277,0.3440559506416321,0.6793749928474426,0.4321678578853607,0.14805038273334503,-0.02934074215590954
5,-0.0038932703901082277,-0.03744376450777054,-0.031003890559077263,-0.014532259665429592,-0.04366093873977661,0.14104166626930237,0.28616851568222046,0.6483333706855774,0.4125596284866333,0.09306228905916214,-0.031236419454216957
6,0.01001240499317646,-0.03384906053543091,0.0033930791541934013,-0.011490709148347378,-0.024803737178444862,0.132708340883255,0.22523219883441925,0.6229166984558105,0.41021671891212463,0.06886310130357742,-0.03899335488677025
7,0.07258261740207672,-0.06596262007951736,-0.062138933688402176,-0.012396719306707382,-0.032666951417922974,0.11520833522081375,0.1986754983663559,0.6227083206176758,0.3907284736633301,0.07776344567537308,-0.02817077748477459
8,-0.010854464024305344,0.0006340986583381891,0.029487457126379013,-0.012155505828559399,-0.005918919574469328,0.11520833522081375,0.1850079745054245,0.6135416626930237,0.359649121761322,0.05966060608625412,-0.04094745218753815
9,0.04483064264059067,-0.004517963621765375,0.04995623975992203,-0.018171312287449837,-0.013993030413985252,0.13458333909511566,0.1428571492433548,0.6274999976158142,0.3420634865760803,0.07213246822357178,-0.04143824428319931
10,0.13110482692718506,-0.0005784966051578522,-0.03031858056783676,-0.014501433819532394,-0.008171255700290203,0.11520833522081375,0.16680032014846802,0.6225000023841858,0.3480352759361267,0.06255678832530975,-0.027772054076194763
11,-0.017982304096221924,0.0028640315867960453,-0.029266955330967903,-0.010454056784510612,-0.0073127602227032185,0.11833333969116211,0.15669755637645721,0.6181250214576721,0.34456613659858704,0.0610390231013298,-0.017282793298363686
