probe_index,sensor_id,task_name,old_top1_choice,new_top1_choice,top1_changed,old_sampled_choice,new_sampled_choice,sampled_changed,old_top1_prob,new_top1_prob,top1_prob_delta,decision_kl,decision_l1,old_local_prob,new_local_prob,old_BS1_prob,new_BS1_prob,old_BS2_prob,new_BS2_prob
0,S1,LatCrit,local,local,0,local,local,0,0.5205251574516296,0.552925169467926,0.03240001201629639,0.0030661020427942276,0.06480005383491516,0.5205251574516296,0.552925169467926,0.2544171214103699,0.25122806429862976,0.22505773603916168,0.19584675133228302
0,S1,ComHvy,local,local,0,BS1,BS1,0,0.46356201171875,0.4744746685028076,0.010912656784057617,0.000508725643157959,0.02766171097755432,0.46356201171875,0.4744746685028076,0.2661716938018799,0.2690899074077606,0.2702662944793701,0.25643545389175415
0,S1,BWHvy,local,local,0,BS1,BS1,0,0.47015613317489624,0.4505624771118164,-0.019593656063079834,0.0007895259186625481,0.03918731212615967,0.47015613317489624,0.4505624771118164,0.28081220388412476,0.28906649351119995,0.249031662940979,0.26037102937698364
0,S2,LatCrit,local,local,0,local,BS2,1,0.5033212900161743,0.4794139266014099,-0.023907363414764404,0.002181742340326309,0.05988951027393341,0.5033212900161743,0.4794139266014099,0.21973438560962677,0.21369701623916626,0.27694427967071533,0.30688905715942383
0,S2,ComHvy,local,local,0,local,local,0,0.48313218355178833,0.47797638177871704,-0.005155801773071289,0.00027716904878616333,0.0205899178981781,0.48313218355178833,0.47797638177871704,0.2622722089290619,0.27256718277931213,0.2545955777168274,0.24945643544197083
0,S2,BWHvy,local,local,0,BS1,BS1,0,0.47365039587020874,0.4372282028198242,-0.03642219305038452,0.0029984209686517715,0.07284437119960785,0.47365039587020874,0.4372282028198242,0.2776179313659668,0.28706982731819153,0.24873165786266327,0.27570194005966187
0,S3,LatCrit,local,local,0,local,local,0,0.5292851328849792,0.5310567617416382,0.0017716288566589355,1.0750518413260579e-05,0.003966271877288818,0.5292851328849792,0.5310567617416382,0.2554347515106201,0.2534516155719757,0.21528008580207825,0.21549159288406372
0,S3,ComHvy,local,local,0,local,local,0,0.4716746211051941,0.43492501974105835,-0.03674960136413574,0.002779509872198105,0.07349921762943268,0.4716746211051941,0.43492501974105835,0.3296582102775574,0.34892502427101135,0.19866718351840973,0.21614998579025269
0,S3,BWHvy,local,local,0,local,local,0,0.4731316566467285,0.4783949851989746,0.005263328552246094,0.0008892696350812912,0.03425233066082001,0.4731316566467285,0.4783949851989746,0.2758699953556061,0.2877328395843506,0.2509983479976654,0.233872190117836
0,S4,LatCrit,local,local,0,local,local,0,0.5201107263565063,0.5348955988883972,0.01478487253189087,0.0005670133978128433,0.029569685459136963,0.5201107263565063,0.5348955988883972,0.2551760673522949,0.25267577171325684,0.22471317648887634,0.21242865920066833
0,S4,ComHvy,local,local,0,local,local,0,0.43849456310272217,0.4257693886756897,-0.01272517442703247,0.0006499346345663071,0.03301268815994263,0.43849456310272217,0.4257693886756897,0.2583787739276886,0.25459760427474976,0.30312666296958923,0.31963300704956055
0,S4,BWHvy,local,local,0,local,local,0,0.5908794403076172,0.5688109397888184,-0.022068500518798828,0.0016040708869695663,0.04541102051734924,0.5908794403076172,0.5688109397888184,0.20575332641601562,0.20511631667613983,0.2033672332763672,0.2260727435350418
0,S5,LatCrit,local,local,0,BS1,BS1,0,0.398867666721344,0.4187859892845154,0.019918322563171387,0.0008941171690821648,0.03983667492866516,0.398867666721344,0.4187859892845154,0.30478397011756897,0.29928213357925415,0.2963483929634094,0.28193187713623047
0,S5,ComHvy,local,local,0,local,local,0,0.5654062032699585,0.5787941217422485,0.013387918472290039,0.00038111815229058266,0.026775866746902466,0.5654062032699585,0.5787941217422485,0.17647600173950195,0.16935080289840698,0.25811782479286194,0.2518550753593445
0,S5,BWHvy,local,local,0,local,local,0,0.49684345722198486,0.5134268999099731,0.01658344268798828,0.0006486405618488789,0.03316687047481537,0.49684345722198486,0.5134268999099731,0.2594439685344696,0.24607975780963898,0.24371257424354553,0.24049335718154907
0,S6,LatCrit,local,local,0,local,local,0,0.5756545662879944,0.6004878282546997,0.024833261966705322,0.0014661638997495174,0.049666523933410645,0.5756545662879944,0.6004878282546997,0.2353576123714447,0.2156442105770111,0.18898780643939972,0.183867946267128
0,S6,ComHvy,local,local,0,local,local,0,0.5939203500747681,0.6142631769180298,0.02034282684326172,0.002469835802912712,0.055124372243881226,0.5939203500747681,0.6142631769180298,0.2084699124097824,0.1809077113866806,0.1976097673177719,0.2048291116952896
0,S6,BWHvy,local,local,0,local,local,0,0.4674840569496155,0.43411803245544434,-0.03336602449417114,0.0028713936917483807,0.0667320191860199,0.4674840569496155,0.43411803245544434,0.29358911514282227,0.32548245787620544,0.23892684280872345,0.24039949476718903
0,S7,LatCrit,local,local,0,local,local,0,0.4613071084022522,0.4713130593299866,0.010005950927734375,0.0011405982077121735,0.041781991720199585,0.4613071084022522,0.4713130593299866,0.2843658924102783,0.2634749114513397,0.2543269693851471,0.2652120292186737
0,S7,ComHvy,local,local,0,local,local,0,0.539505660533905,0.5783737897872925,0.03886812925338745,0.003128744661808014,0.07773616909980774,0.539505660533905,0.5783737897872925,0.22384844720363617,0.20173896849155426,0.2366458624601364,0.21988730132579803
0,S7,BWHvy,local,local,0,BS1,BS1,0,0.4729757308959961,0.49858617782592773,0.02561044692993164,0.0020950064063072205,0.05371919274330139,0.4729757308959961,0.49858617782592773,0.2716042697429657,0.2447446882724762,0.2554199695587158,0.25666913390159607
0,S8,LatCrit,local,local,0,local,BS1,1,0.5054514408111572,0.46768784523010254,-0.03776359558105469,0.002980451099574566,0.07552720606327057,0.5054514408111572,0.46768784523010254,0.23629210889339447,0.2602664530277252,0.2582564353942871,0.27204570174217224
0,S8,ComHvy,local,local,0,local,local,0,0.5537099838256836,0.5758490562438965,0.02213907241821289,0.0010185427963733673,0.04427814483642578,0.5537099838256836,0.5758490562438965,0.25107601284980774,0.24058374762535095,0.19521401822566986,0.18356721103191376
0,S8,BWHvy,local,local,0,local,local,0,0.5485169887542725,0.5565168857574463,0.007999897003173828,0.0001304522156715393,0.015999794006347656,0.5485169887542725,0.5565168857574463,0.22056815028190613,0.2162027359008789,0.23091484606266022,0.2272803634405136
1,S1,LatCrit,local,local,0,local,local,0,0.5850919485092163,0.551047682762146,-0.03404426574707031,0.0023917220532894135,0.06808853149414062,0.5850919485092163,0.551047682762146,0.22080524265766144,0.235953226685524,0.19410283863544464,0.2129991203546524
1,S1,ComHvy,local,local,0,local,local,0,0.4936094284057617,0.4755218029022217,-0.01808762550354004,0.0010137708159163594,0.03861258924007416,0.4936094284057617,0.4755218029022217,0.2649579644203186,0.2842642664909363,0.24143259227275848,0.24021393060684204
1,S1,BWHvy,local,local,0,local,local,0,0.41578060388565063,0.4114524722099304,-0.004328131675720215,0.0003154883161187172,0.02221018075942993,0.41578060388565063,0.4114524722099304,0.3074399530887604,0.3006629943847656,0.276779443025589,0.28788453340530396
1,S2,LatCrit,local,local,0,local,local,0,0.46269696950912476,0.4947512149810791,0.032054245471954346,0.0024181753396987915,0.06410850584506989,0.46269696950912476,0.4947512149810791,0.2359311580657959,0.23106743395328522,0.30137187242507935,0.2741813361644745
1,S2,ComHvy,local,local,0,local,local,0,0.5118019580841064,0.5026260614395142,-0.009175896644592285,0.0014683688059449196,0.04506756365299225,0.5118019580841064,0.5026260614395142,0.23349909484386444,0.25603288412094116,0.2546989619731903,0.24134108424186707
1,S2,BWHvy,local,local,0,local,local,0,0.4676307439804077,0.45404571294784546,-0.013585031032562256,0.00038950052112340927,0.027170076966285706,0.4676307439804077,0.45404571294784546,0.2943679690361023,0.30410000681877136,0.2380012571811676,0.24185426533222198
1,S3,LatCrit,local,local,0,local,local,0,0.5087708234786987,0.48787474632263184,-0.020896077156066895,0.0016394499689340591,0.048276737332344055,0.5087708234786987,0.48787474632263184,0.25984853506088257,0.2566062808036804,0.23138059675693512,0.25551900267601013
1,S3,ComHvy,local,local,0,local,local,0,0.43880438804626465,0.4178200960159302,-0.020984292030334473,0.0011645369231700897,0.04196862876415253,0.43880438804626465,0.4178200960159302,0.32417815923690796,0.327463835477829,0.2370174378156662,0.25471609830856323
1,S3,BWHvy,local,local,0,local,local,0,0.5557575821876526,0.5550186634063721,-0.0007389187812805176,2.3852335289120674e-05,0.0052635520696640015,0.5557575821876526,0.5550186634063721,0.22806191444396973,0.23069369792938232,0.21618051826953888,0.214287668466568
1,S4,LatCrit,local,local,0,local,local,0,0.5553901791572571,0.5889186263084412,0.03352844715118408,0.002393675036728382,0.06705687940120697,0.5553901791572571,0.5889186263084412,0.22649720311164856,0.20530256628990173,0.21811260282993317,0.2057788074016571
1,S4,ComHvy,local,local,0,local,local,0,0.5110287666320801,0.4990578293800354,-0.011970937252044678,0.0003473544493317604,0.023941904306411743,0.5110287666320801,0.4990578293800354,0.2395937591791153,0.24940626323223114,0.24937742948532104,0.25153589248657227
1,S4,BWHvy,local,local,0,BS1,BS1,0,0.5531303882598877,0.5606803894042969,0.00755000114440918,0.00011613592505455017,0.015100061893463135,0.5531303882598877,0.5606803894042969,0.20546840131282806,0.2023286521434784,0.24140122532844543,0.23699091374874115
1,S5,LatCrit,local,local,0,local,local,0,0.45295286178588867,0.4639633297920227,0.011010468006134033,0.0016316082328557968,0.04862450063228607,0.45295286178588867,0.4639633297920227,0.2839675545692444,0.297269344329834,0.26307955384254456,0.23876731097698212
1,S5,ComHvy,local,local,0,local,local,0,0.547372579574585,0.5685795545578003,0.021206974983215332,0.0013846419751644135,0.042795389890670776,0.547372579574585,0.5685795545578003,0.20561179518699646,0.20580251514911652,0.24701566994190216,0.22561797499656677
1,S5,BWHvy,local,local,0,local,local,0,0.566836953163147,0.5827575922012329,0.015920639038085938,0.0005219960585236549,0.03184129297733307,0.566836953163147,0.5827575922012329,0.22186091542243958,0.21299177408218384,0.21130211651325226,0.20425060391426086
1,S6,LatCrit,local,local,0,local,local,0,0.5581273436546326,0.5655715465545654,0.007444202899932861,0.0005061407573521137,0.025886237621307373,0.5581273436546326,0.5655715465545654,0.22423158586025238,0.2112884372472763,0.21764108538627625,0.22313997149467468
1,S6,ComHvy,local,local,0,local,local,0,0.5875486135482788,0.626801609992981,0.03925299644470215,0.00431495625525713,0.07850596308708191,0.5875486135482788,0.626801609992981,0.17417894303798676,0.14447888731956482,0.23827245831489563,0.2287195473909378
1,S6,BWHvy,local,local,0,local,local,0,0.5255557894706726,0.49230682849884033,-0.033248960971832275,0.0027370471507310867,0.06649792194366455,0.5255557894706726,0.49230682849884033,0.2458386868238449,0.25112155079841614,0.22860552370548248,0.25657162070274353
