telemetry_step,train_epoch,update_epoch,minibatch_id,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip,backbone_soft_geometry_scale_factor_mean,backbone_soft_geometry_scale_factor_p50,backbone_soft_geometry_scale_factor_p95,backbone_soft_geometry_scale_factor_min,backbone_soft_geometry_trigger_active_fraction,backbone_soft_geometry_overflow_stat_mean,backbone_soft_geometry_overflow_stat_p95
0,0,0,0,0.13988201250365698,78848,0,0.0,423632.21875,1394741.625,7825869.0,94602784.0,423632.21875,1394741.625,7825869.0,94602784.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,0,0,1,0.10296438660867188,78848,0,0.0,255904.109375,1203292.75,6372798.5,38629176.0,255904.109375,1203292.75,6372798.5,38629176.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2,0,0,2,0.09022385043226588,78848,0,0.0,229909.921875,1112170.875,6020726.0,28489082.0,229909.921875,1112170.875,6020726.0,28489082.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
3,0,0,3,0.08124653509696987,78848,0,0.0,227993.5625,1141440.875,6004351.5,30290910.0,227993.5625,1141440.875,6004351.5,30290910.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
4,0,1,4,0.07966994804316557,78848,0,0.0,228299.40625,1162278.875,6114344.5,27103736.0,228299.40625,1162278.875,6114344.5,27103736.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
5,0,1,5,0.07711464456293665,78848,0,0.0,223419.21875,1146642.25,5595885.5,28923262.0,223419.21875,1146642.25,5595885.5,28923262.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
6,0,1,6,0.07427263588522384,78848,0,0.0,225703.5625,1148999.5,5595092.0,30297166.0,225703.5625,1148999.5,5595092.0,30297166.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
7,0,1,7,0.0706820450515834,78848,0,0.0,230950.671875,1206949.875,5785525.5,30769670.0,230950.671875,1206949.875,5785525.5,30769670.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
8,0,2,8,0.07071236044589657,78848,0,0.0,233043.609375,1208727.625,5698321.0,32017162.0,233043.609375,1208727.625,5698321.0,32017162.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
9,0,2,9,0.06971930325205666,78848,0,0.0,229725.875,1169210.125,5779762.0099999895,32496614.0,229725.875,1169210.125,5779762.0099999895,32496614.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
10,0,2,10,0.0684819427066732,78848,0,0.0,229551.96875,1179645.5,5699649.5,33424490.0,229551.96875,1179645.5,5699649.5,33424490.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
11,0,2,11,0.06665346932210885,78848,0,0.0,230772.96875,1206234.875,5699519.5,33604200.0,230772.96875,1206234.875,5699519.5,33604200.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
12,0,3,12,0.06692991451909647,78848,0,0.0,229798.265625,1210480.75,5811862.0,29406808.0,229798.265625,1210480.75,5811862.0,29406808.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
13,0,3,13,0.06677854312652412,78848,0,0.0,228459.21875,1172378.625,5748237.5,30185760.0,228459.21875,1172378.625,5748237.5,30185760.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
14,0,3,14,0.06656080606169042,78848,0,0.0,228559.40625,1153719.0,5774118.564999988,30098318.0,228559.40625,1153719.0,5774118.564999988,30098318.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
15,0,3,15,0.06624899124747766,78848,0,0.0,227134.78125,1157561.625,5705396.5,23175930.0,227134.78125,1157561.625,5705396.5,23175930.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
16,0,4,16,0.06729149473050891,78847,0,0.0,224646.71875,1167110.1124999903,5756810.0,22944908.0,224646.71875,1167110.1124999903,5756810.0,22944908.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
17,0,4,17,0.06728113893327024,78848,0,0.0,224442.46875,1164087.0,5819279.0,23287252.0,224442.46875,1164087.0,5819279.0,23287252.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
18,0,4,18,0.06657056467608753,78848,0,0.0,224871.34375,1159560.75,5734572.0,23556508.0,224871.34375,1159560.75,5734572.0,23556508.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
19,0,4,19,0.06549601419130677,78848,0,0.0,225567.8125,1177123.75,5835267.5,22024064.0,225567.8125,1177123.75,5835267.5,22024064.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
20,0,5,20,0.06626224515763413,78848,0,0.0,226100.703125,1172480.606249998,5863830.0,22384918.0,226100.703125,1172480.606249998,5863830.0,22384918.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
