epoch,advantage_action_alignment,theta_advantage_alignment,route_advantage_alignment,theta_approx_kl,route_approx_kl,theta_clip_fraction,route_clip_fraction,offload_decision_agreement_ratio,route_decision_agreement_ratio,theta_residual_credit_mean,route_residual_credit_mean
0,0.006911195814609528,0.04597599804401398,0.03062347322702408,0.026777712628245354,0.0056928303092718124,0.4937500059604645,0.012419871985912323,0.48000001907348633,0.4655448794364929,-0.028066953644156456,-0.05674180015921593
1,0.16579054296016693,0.01859302818775177,0.028228655457496643,0.007997932843863964,0.004707896616309881,0.5589583516120911,0.19402983784675598,0.5120833516120911,0.4776119291782379,0.0240301713347435,-0.02305375412106514
2,0.16765087842941284,0.02722638100385666,-0.026254845783114433,-0.026634983718395233,-0.01124432310461998,0.46291667222976685,0.24834123253822327,0.5597916841506958,0.47535544633865356,0.07755912840366364,-0.01960914395749569
3,0.2039664387702942,0.016404740512371063,0.034501414746046066,-0.026345353573560715,-0.04320934787392616,0.3804166615009308,0.3184267282485962,0.6112500429153442,0.42241379618644714,0.12321560084819794,-0.09009896963834763
4,0.20818287134170532,0.014953074045479298,-0.011594963259994984,-0.033294569700956345,-0.06884169578552246,0.22958333790302277,0.3440559506416321,0.6793749928474426,0.4321678578853607,0.14805038273334503,-0.02934074215590954
5,-0.0026920067612081766,-0.03799373656511307,-0.021157482638955116,-0.014532259665429592,-0.04366093873977661,0.14104166626930237,0.28616851568222046,0.6483333706855774,0.4125596284866333,0.09306228905916214,-0.031236419454216957
6,0.014758594334125519,-0.03300148993730545,0.0029117101803421974,-0.011490709148347378,-0.024803737178444862,0.132708340883255,0.22523219883441925,0.6229166984558105,0.41021671891212463,0.06886310130357742,-0.03899335488677025
7,0.07096991688013077,-0.06594358384609222,-0.06568891555070877,-0.012396719306707382,-0.032666951417922974,0.11520833522081375,0.1986754983663559,0.6227083206176758,0.3907284736633301,0.07776344567537308,-0.02817077748477459
8,-0.009084929712116718,-0.0035704616457223892,0.02858319692313671,-0.012155505828559399,-0.005918919574469328,0.11520833522081375,0.1850079745054245,0.6135416626930237,0.359649121761322,0.05966060608625412,-0.04094745218753815
9,0.03775688260793686,-0.005295536480844021,0.04692377895116806,-0.018171312287449837,-0.013993030413985252,0.13458333909511566,0.1428571492433548,0.6274999976158142,0.3420634865760803,0.07213246822357178,-0.04143824428319931
10,0.12459377199411392,0.00478972215205431,-0.023814305663108826,-0.014501433819532394,-0.008171255700290203,0.11520833522081375,0.16680032014846802,0.6225000023841858,0.3480352759361267,0.06255678832530975,-0.027772054076194763
11,-0.018480967730283737,0.004484242293983698,-0.03742989897727966,-0.010454056784510612,-0.0073127602227032185,0.11833333969116211,0.15669755637645721,0.6181250214576721,0.34456613659858704,0.0610390231013298,-0.017282793298363686
