epoch,advantage_action_alignment,theta_advantage_alignment,route_advantage_alignment,theta_approx_kl,route_approx_kl,theta_clip_fraction,route_clip_fraction,offload_decision_agreement_ratio,route_decision_agreement_ratio,theta_residual_credit_mean,route_residual_credit_mean
0,-0.031698279082775116,0.02577212266623974,0.018405856564641,0.01917113922536373,0.001008235733024776,0.5262500047683716,0.002487562131136656,0.4975000023841858,0.4792703092098236,-0.006540841422975063,-0.0384620763361454
1,-0.15193423628807068,0.019482526928186417,-0.010627314448356628,0.011231111362576485,0.01395708043128252,0.5535416603088379,0.14327608048915863,0.5020833611488342,0.5039798617362976,0.00823644082993269,0.011125393211841583
2,0.10467001795768738,0.04510439559817314,-0.0052008358761668205,-0.025987084954977036,-0.008855750784277916,0.47208333015441895,0.27383267879486084,0.5720833539962769,0.48638132214546204,0.097211092710495,-0.014513351954519749
3,0.06620196998119354,0.04370780661702156,-0.020400114357471466,-0.020994173362851143,-0.015095028094947338,0.3774999976158142,0.3042564392089844,0.6027083396911621,0.4676826000213623,0.10997561365365982,-0.04382764548063278
4,0.033466774970293045,0.043131500482559204,0.06900332123041153,-0.03652673959732056,-0.05367768928408623,0.26895833015441895,0.3380737006664276,0.6647917032241821,0.45313510298728943,0.14658179879188538,-0.03859644755721092
5,0.12790663540363312,-0.02275194600224495,0.020192362368106842,-0.021503189578652382,-0.0613771490752697,0.15520833432674408,0.307037889957428,0.6600000262260437,0.4578499495983124,0.09344734996557236,-0.007782759610563517
6,-0.09672986716032028,-0.08877258002758026,-0.012315026484429836,-0.0033406587317585945,-0.03780939057469368,0.12395833432674408,0.23374485969543457,0.628333330154419,0.4888888895511627,0.0664961040019989,0.009952233172953129
7,0.127954363822937,-0.03143519535660744,-0.02421773038804531,-0.013592968694865704,-0.03181423619389534,0.11395833641290665,0.20189274847507477,0.6322916746139526,0.4550473392009735,0.07988621294498444,0.00909368321299553
8,0.05862584710121155,-0.0024137787986546755,-0.00777902826666832,-0.014267497695982456,-0.0003607981198001653,0.11708333343267441,0.1556982398033142,0.6225000023841858,0.4646869897842407,0.0606875866651535,-0.0035624695010483265
9,0.18485598266124725,-0.02187171019613743,-0.02200905978679657,-0.010756364092230797,-0.0040298644453287125,0.12270833551883698,0.18694600462913513,0.6450000405311584,0.46978244185447693,0.08090780675411224,0.00478041497990489
10,-0.06790761649608612,0.0020668290089815855,-0.06817039102315903,-0.010895555838942528,-0.009922469966113567,0.12479166686534882,0.15614886581897736,0.6229166984558105,0.46278318762779236,0.06391454488039017,0.0021869565825909376
11,-0.03569617494940758,-0.008997127413749695,-0.010032393969595432,-0.006443960592150688,0.0057050324976444244,0.11375000327825546,0.1317957192659378,0.621666669845581,0.43986818194389343,0.06304483115673065,-0.010314672254025936
