probe_index,sensor_id,task_name,old_top1_choice,new_top1_choice,top1_changed,old_sampled_choice,new_sampled_choice,sampled_changed,old_top1_prob,new_top1_prob,top1_prob_delta,decision_kl,decision_l1,old_local_prob,new_local_prob,old_BS1_prob,new_BS1_prob,old_BS2_prob,new_BS2_prob
0,S1,LatCrit,local,local,0,local,local,0,0.49922817945480347,0.5164363980293274,0.017208218574523926,0.000627586618065834,0.034416407346725464,0.49922817945480347,0.5164363980293274,0.26228854060173035,0.256133496761322,0.2384832799434662,0.22743013501167297
0,S1,ComHvy,local,local,0,local,BS1,1,0.5113093256950378,0.4444490075111389,-0.06686031818389893,0.012869518250226974,0.13372059166431427,0.5113093256950378,0.4444490075111389,0.26500454545021057,0.2662733495235443,0.22368614375591278,0.2892776131629944
0,S1,BWHvy,local,local,0,BS1,BS1,0,0.4706738591194153,0.44867777824401855,-0.02199608087539673,0.001110561192035675,0.04399216175079346,0.4706738591194153,0.44867777824401855,0.271737664937973,0.2767987847328186,0.2575884759426117,0.27452343702316284
0,S2,LatCrit,local,local,0,local,BS2,1,0.5096600651741028,0.4899638891220093,-0.019696176052093506,0.0017493460327386856,0.05340878665447235,0.5096600651741028,0.4899638891220093,0.2217281609773636,0.2147199511528015,0.2686117887496948,0.2953161895275116
0,S2,ComHvy,local,local,0,local,local,0,0.4989911913871765,0.4740905165672302,-0.02490067481994629,0.0013566035777330399,0.04980131983757019,0.4989911913871765,0.4740905165672302,0.2654082775115967,0.27297696471214294,0.2356005311012268,0.25293248891830444
0,S2,BWHvy,local,local,0,BS1,BS1,0,0.4810486435890198,0.46413499116897583,-0.016913652420043945,0.0007211607880890369,0.0338272750377655,0.4810486435890198,0.46413499116897583,0.26840275526046753,0.28351646661758423,0.2505486011505127,0.25234851241111755
0,S3,LatCrit,local,local,0,local,local,0,0.5279426574707031,0.5255428552627563,-0.0023998022079467773,0.0003666505217552185,0.020888924598693848,0.5279426574707031,0.5255428552627563,0.2543061673641205,0.2647506296634674,0.21775119006633759,0.20970652997493744
0,S3,ComHvy,local,local,0,local,local,0,0.4862384796142578,0.46599316596984863,-0.02024531364440918,0.0017017722129821777,0.05410349369049072,0.4862384796142578,0.46599316596984863,0.29790762066841125,0.3249593675136566,0.21585386991500854,0.20904743671417236
0,S3,BWHvy,local,local,0,local,local,0,0.503341555595398,0.4493671655654907,-0.05397439002990723,0.005858937278389931,0.10794879496097565,0.503341555595398,0.4493671655654907,0.25636377930641174,0.2831687927246094,0.2402946799993515,0.2674640715122223
0,S4,LatCrit,local,local,0,local,local,0,0.5034530162811279,0.5536108016967773,0.050157785415649414,0.005093513056635857,0.10031561553478241,0.5034530162811279,0.5536108016967773,0.2573850750923157,0.22887466847896576,0.2391619086265564,0.21751448512077332
0,S4,ComHvy,local,local,0,local,local,0,0.5086071491241455,0.4256201982498169,-0.08298695087432861,0.015249591320753098,0.16597390174865723,0.5086071491241455,0.4256201982498169,0.2333602011203766,0.2517276704311371,0.2580326497554779,0.322652131319046
